"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US10527","ZCTA5 10527","925","172"
"8600000US10528","ZCTA5 10528","13182","686"
"8600000US10530","ZCTA5 10530","12268","641"
"8600000US10532","ZCTA5 10532","4952","324"
"8600000US10533","ZCTA5 10533","7662","398"
"8600000US10535","ZCTA5 10535","390","336"
"8600000US10536","ZCTA5 10536","10627","601"
"8600000US10537","ZCTA5 10537","2441","546"
"8600000US10538","ZCTA5 10538","16302","342"
"8600000US10541","ZCTA5 10541","26321","897"
"8600000US10543","ZCTA5 10543","20951","322"
"8600000US10545","ZCTA5 10545","128","39"
"8600000US10546","ZCTA5 10546","1228","287"
"8600000US10547","ZCTA5 10547","7690","834"
"8600000US10548","ZCTA5 10548","3793","424"
"8600000US10549","ZCTA5 10549","16498","768"
"8600000US10550","ZCTA5 10550","37429","1292"
"8600000US10552","ZCTA5 10552","20202","964"
"8600000US10553","ZCTA5 10553","10075","1031"
"8600000US10560","ZCTA5 10560","4792","208"
"8600000US10562","ZCTA5 10562","31636","370"
"8600000US10566","ZCTA5 10566","24010","106"
"8600000US10567","ZCTA5 10567","20518","741"
"8600000US10570","ZCTA5 10570","12900","491"
"8600000US10573","ZCTA5 10573","38816","99"
"8600000US10576","ZCTA5 10576","4907","215"
"8600000US10577","ZCTA5 10577","6356","532"
"8600000US10578","ZCTA5 10578","801","230"
"8600000US10579","ZCTA5 10579","8208","544"
"8600000US10580","ZCTA5 10580","17334","317"
"8600000US10583","ZCTA5 10583","40851","817"
"8600000US10588","ZCTA5 10588","3087","668"
"8600000US10589","ZCTA5 10589","8793","396"
"8600000US10590","ZCTA5 10590","7078","382"
"8600000US10591","ZCTA5 10591","23044","536"
"8600000US10594","ZCTA5 10594","5090","476"
"8600000US10595","ZCTA5 10595","8473","503"
"8600000US10596","ZCTA5 10596","1242","323"
"8600000US10597","ZCTA5 10597","853","241"
"8600000US10598","ZCTA5 10598","29320","887"
"8600000US10601","ZCTA5 10601","10614","786"
"8600000US10603","ZCTA5 10603","17866","999"
"8600000US10604","ZCTA5 10604","11290","903"
"8600000US10605","ZCTA5 10605","19195","743"
"8600000US10606","ZCTA5 10606","16841","882"
"8600000US10607","ZCTA5 10607","7578","745"
"8600000US10701","ZCTA5 10701","61604","2135"
"8600000US10703","ZCTA5 10703","22148","1446"
"8600000US10704","ZCTA5 10704","31683","1190"
"8600000US10705","ZCTA5 10705","39944","1838"
"8600000US10706","ZCTA5 10706","8493","180"
"8600000US10707","ZCTA5 10707","10260","420"
"8600000US10708","ZCTA5 10708","21769","743"
"8600000US10709","ZCTA5 10709","9603","466"
"8600000US10710","ZCTA5 10710","25262","1016"
"8600000US10801","ZCTA5 10801","41370","1194"
"8600000US10803","ZCTA5 10803","12510","39"
"8600000US10804","ZCTA5 10804","15229","744"
"8600000US10805","ZCTA5 10805","19096","1070"
"8600000US10901","ZCTA5 10901","23039","713"
"8600000US10910","ZCTA5 10910","0","12"
"8600000US10911","ZCTA5 10911","0","12"
"8600000US10913","ZCTA5 10913","5075","441"
"8600000US10914","ZCTA5 10914","297","163"
"8600000US10915","ZCTA5 10915","85","106"
"8600000US10916","ZCTA5 10916","4352","387"
"8600000US10917","ZCTA5 10917","1766","358"
"8600000US10918","ZCTA5 10918","12653","790"
"8600000US10919","ZCTA5 10919","948","297"
"8600000US10920","ZCTA5 10920","9075","571"
"8600000US10921","ZCTA5 10921","3809","283"
"8600000US10922","ZCTA5 10922","1637","356"
"8600000US10923","ZCTA5 10923","8627","906"
"8600000US10924","ZCTA5 10924","13508","462"
"8600000US10925","ZCTA5 10925","3913","225"
"8600000US10926","ZCTA5 10926","3592","394"
"8600000US10927","ZCTA5 10927","12065","27"
"8600000US10928","ZCTA5 10928","4145","158"
"8600000US10930","ZCTA5 10930","9425","465"
"8600000US10931","ZCTA5 10931","938","147"
"8600000US10932","ZCTA5 10932","102","92"
"8600000US10933","ZCTA5 10933","563","266"
"8600000US10940","ZCTA5 10940","48021","951"
"8600000US10941","ZCTA5 10941","13786","723"
"8600000US10950","ZCTA5 10950","50979","928"
"8600000US10952","ZCTA5 10952","42063","1676"
"8600000US10953","ZCTA5 10953","109","125"
"8600000US10954","ZCTA5 10954","22931","1039"
"8600000US10956","ZCTA5 10956","32289","1006"
"8600000US10958","ZCTA5 10958","3319","432"
"8600000US10960","ZCTA5 10960","15857","557"
"8600000US10962","ZCTA5 10962","6034","593"
"8600000US10963","ZCTA5 10963","4487","426"
"8600000US10964","ZCTA5 10964","1224","299"
"8600000US10965","ZCTA5 10965","15534","573"
"8600000US10968","ZCTA5 10968","2400","135"
"8600000US10969","ZCTA5 10969","1329","275"
"8600000US10970","ZCTA5 10970","10082","829"
"8600000US10973","ZCTA5 10973","2479","324"
"8600000US10974","ZCTA5 10974","3202","87"
"8600000US10975","ZCTA5 10975","200","101"
"8600000US10976","ZCTA5 10976","2332","467"
"8600000US10977","ZCTA5 10977","66138","1538"
"8600000US10979","ZCTA5 10979","162","204"
"8600000US10980","ZCTA5 10980","13942","505"
"8600000US10983","ZCTA5 10983","5999","445"
"8600000US10984","ZCTA5 10984","2789","395"
"8600000US10985","ZCTA5 10985","162","184"
"8600000US10986","ZCTA5 10986","1899","466"
"8600000US10987","ZCTA5 10987","3408","105"
"8600000US10988","ZCTA5 10988","636","225"
"8600000US10989","ZCTA5 10989","8689","832"
"8600000US10990","ZCTA5 10990","20307","604"
"8600000US10992","ZCTA5 10992","9360","696"
"8600000US10993","ZCTA5 10993","4803","806"
"8600000US10994","ZCTA5 10994","7396","533"
"8600000US10996","ZCTA5 10996","6383","340"
"8600000US10998","ZCTA5 10998","3281","340"
"8600000US11001","ZCTA5 11001","28021","821"
"8600000US11003","ZCTA5 11003","44572","1634"
"8600000US11004","ZCTA5 11004","15098","823"
"8600000US11005","ZCTA5 11005","1759","351"
"8600000US11010","ZCTA5 11010","24752","1218"
"8600000US11020","ZCTA5 11020","5774","452"
"8600000US11021","ZCTA5 11021","18245","438"
"8600000US11023","ZCTA5 11023","9301","683"
"8600000US11024","ZCTA5 11024","7786","542"
"8600000US11030","ZCTA5 11030","18578","645"
"8600000US11040","ZCTA5 11040","41592","957"
"8600000US11042","ZCTA5 11042","506","142"
"8600000US11050","ZCTA5 11050","30357","763"
"8600000US11096","ZCTA5 11096","8362","619"
"8600000US11101","ZCTA5 11101","31366","1627"
"8600000US11102","ZCTA5 11102","29747","1364"
"8600000US11103","ZCTA5 11103","35995","1409"
"8600000US11104","ZCTA5 11104","25114","1103"
"8600000US11105","ZCTA5 11105","36983","1172"
"8600000US11106","ZCTA5 11106","37690","1468"
"8600000US11109","ZCTA5 11109","5980","869"
"8600000US11201","ZCTA5 11201","63378","1556"
"8600000US11203","ZCTA5 11203","76085","1814"
"8600000US11204","ZCTA5 11204","76395","2003"
"8600000US11205","ZCTA5 11205","46843","1663"
"8600000US11206","ZCTA5 11206","88422","2672"
"8600000US11207","ZCTA5 11207","91083","2505"
"8600000US11208","ZCTA5 11208","101313","2432"
"8600000US11209","ZCTA5 11209","67782","1787"
"8600000US11210","ZCTA5 11210","64665","1757"
"8600000US11211","ZCTA5 11211","103123","2688"
"8600000US11212","ZCTA5 11212","75605","3015"
"8600000US11213","ZCTA5 11213","67056","2013"
"8600000US11214","ZCTA5 11214","92644","1867"
"8600000US11215","ZCTA5 11215","69873","1719"
"8600000US11216","ZCTA5 11216","57786","1688"
"8600000US11217","ZCTA5 11217","41813","1470"
"8600000US11218","ZCTA5 11218","72413","2009"
"8600000US11219","ZCTA5 11219","89371","2507"
"8600000US11220","ZCTA5 11220","93170","2641"
"8600000US11221","ZCTA5 11221","83322","2831"
"8600000US11222","ZCTA5 11222","36872","976"
"8600000US11223","ZCTA5 11223","81388","2429"
"8600000US11224","ZCTA5 11224","45795","1658"
"8600000US11225","ZCTA5 11225","56859","1958"
"8600000US11226","ZCTA5 11226","99558","2619"
"8600000US11228","ZCTA5 11228","44348","1426"
"8600000US11229","ZCTA5 11229","83119","1926"
"8600000US11230","ZCTA5 11230","86139","2171"
"8600000US11231","ZCTA5 11231","37874","1245"
"8600000US11232","ZCTA5 11232","26430","1678"
"8600000US11233","ZCTA5 11233","79439","2433"
"8600000US11234","ZCTA5 11234","93534","2121"
"8600000US11235","ZCTA5 11235","78775","1844"
"8600000US11236","ZCTA5 11236","100844","2322"
"8600000US11237","ZCTA5 11237","48876","1852"
"8600000US11238","ZCTA5 11238","55210","1408"
"8600000US11239","ZCTA5 11239","12772","862"
"8600000US11351","ZCTA5 11351","0","12"
"8600000US11354","ZCTA5 11354","53684","1783"
"8600000US11355","ZCTA5 11355","80987","2490"
"8600000US11356","ZCTA5 11356","23494","1314"
"8600000US11357","ZCTA5 11357","39407","1719"
"8600000US11358","ZCTA5 11358","36515","1092"
"8600000US11359","ZCTA5 11359","0","12"
"8600000US11360","ZCTA5 11360","18954","890"
"8600000US11361","ZCTA5 11361","27201","937"
"8600000US11362","ZCTA5 11362","18343","864"
"8600000US11363","ZCTA5 11363","7096","433"
"8600000US11364","ZCTA5 11364","36215","1308"
"8600000US11365","ZCTA5 11365","44738","2087"
"8600000US11366","ZCTA5 11366","14360","857"
"8600000US11367","ZCTA5 11367","41207","1853"
"8600000US11368","ZCTA5 11368","112088","2985"
"8600000US11369","ZCTA5 11369","31481","1614"
"8600000US11370","ZCTA5 11370","31580","1354"
"8600000US11371","ZCTA5 11371","0","12"
"8600000US11372","ZCTA5 11372","62854","2101"
"8600000US11373","ZCTA5 11373","94437","2694"
"8600000US11374","ZCTA5 11374","43507","1626"
"8600000US11375","ZCTA5 11375","73034","1920"
"8600000US11377","ZCTA5 11377","83825","2351"
"8600000US11378","ZCTA5 11378","38524","1607"
"8600000US11379","ZCTA5 11379","37991","1261"
"8600000US11385","ZCTA5 11385","107796","2192"
"8600000US11411","ZCTA5 11411","20719","787"
"8600000US11412","ZCTA5 11412","37857","1194"
"8600000US11413","ZCTA5 11413","41650","1719"
"8600000US11414","ZCTA5 11414","28313","1460"
"8600000US11415","ZCTA5 11415","18891","917"
"8600000US11416","ZCTA5 11416","26744","1013"
"8600000US11417","ZCTA5 11417","31321","1007"
"8600000US11418","ZCTA5 11418","38405","1648"
"8600000US11419","ZCTA5 11419","48369","1738"
"8600000US11420","ZCTA5 11420","47470","1642"
"8600000US11421","ZCTA5 11421","41251","1555"
"8600000US11422","ZCTA5 11422","32761","1347"
"8600000US11423","ZCTA5 11423","30104","1359"
"8600000US11424","ZCTA5 11424","0","12"
"8600000US11425","ZCTA5 11425","0","12"
"8600000US11426","ZCTA5 11426","20524","1239"
"8600000US11427","ZCTA5 11427","24560","1165"
"8600000US11428","ZCTA5 11428","18836","1059"
"8600000US11429","ZCTA5 11429","27454","1219"
"8600000US11430","ZCTA5 11430","206","146"
"8600000US11432","ZCTA5 11432","64299","1880"
"8600000US11433","ZCTA5 11433","37021","1792"
"8600000US11434","ZCTA5 11434","64304","2142"
"8600000US11435","ZCTA5 11435","59605","1988"
"8600000US11436","ZCTA5 11436","19167","961"
"8600000US11451","ZCTA5 11451","0","12"
"8600000US11501","ZCTA5 11501","19621","407"
"8600000US11507","ZCTA5 11507","7225","540"
"8600000US11509","ZCTA5 11509","1920","259"
"8600000US11510","ZCTA5 11510","33299","1087"
"8600000US11514","ZCTA5 11514","4694","416"
"8600000US11516","ZCTA5 11516","7372","347"
"8600000US11518","ZCTA5 11518","9969","451"
"8600000US11520","ZCTA5 11520","43438","241"
"8600000US11530","ZCTA5 11530","28460","554"
"8600000US11542","ZCTA5 11542","27893","236"
"8600000US11545","ZCTA5 11545","12604","680"
"8600000US11547","ZCTA5 11547","681","232"
"8600000US11548","ZCTA5 11548","2922","554"
"8600000US11549","ZCTA5 11549","2803","259"
"8600000US11550","ZCTA5 11550","57639","328"
"8600000US11552","ZCTA5 11552","24908","1007"
"8600000US11553","ZCTA5 11553","26054","1316"
"8600000US11554","ZCTA5 11554","38029","1543"
"8600000US11556","ZCTA5 11556","0","12"
"8600000US11557","ZCTA5 11557","7878","907"
"8600000US11558","ZCTA5 11558","8465","385"
"8600000US11559","ZCTA5 11559","8192","502"
"8600000US11560","ZCTA5 11560","6669","484"
"8600000US11561","ZCTA5 11561","37726","393"
"8600000US11563","ZCTA5 11563","21919","360"
"8600000US11565","ZCTA5 11565","8560","235"
"8600000US11566","ZCTA5 11566","33331","1042"
"8600000US11568","ZCTA5 11568","4548","241"
"8600000US11569","ZCTA5 11569","1117","287"
"8600000US11570","ZCTA5 11570","27234","660"
"8600000US11572","ZCTA5 11572","29243","869"
"8600000US11575","ZCTA5 11575","17180","1027"
"8600000US11576","ZCTA5 11576","12374","603"
"8600000US11577","ZCTA5 11577","12513","689"
"8600000US11579","ZCTA5 11579","5214","169"
"8600000US11580","ZCTA5 11580","42990","1406"
"8600000US11581","ZCTA5 11581","21794","779"
"8600000US11590","ZCTA5 11590","47245","1425"
"8600000US11596","ZCTA5 11596","10347","474"
"8600000US11598","ZCTA5 11598","14066","1081"
"8600000US11691","ZCTA5 11691","68543","2963"
"8600000US11692","ZCTA5 11692","22074","1303"
"8600000US11693","ZCTA5 11693","12944","1044"
"8600000US11694","ZCTA5 11694","21202","1006"
"8600000US11697","ZCTA5 11697","3674","420"
"8600000US11701","ZCTA5 11701","28363","1496"
"8600000US11702","ZCTA5 11702","14127","476"
"8600000US11703","ZCTA5 11703","16119","502"
"8600000US11704","ZCTA5 11704","39981","1061"
"8600000US11705","ZCTA5 11705","7721","480"
"8600000US11706","ZCTA5 11706","68401","1914"
"8600000US11709","ZCTA5 11709","6735","43"
"8600000US11710","ZCTA5 11710","34634","1216"
"8600000US11713","ZCTA5 11713","9295","980"
"8600000US11714","ZCTA5 11714","22741","1024"
"8600000US11715","ZCTA5 11715","4583","416"
"8600000US11716","ZCTA5 11716","9781","657"
